name,symbol,total_supply,decimals,mintable,owner,proxy_admin,bep20_addr,deploy_txhash,mirror_txhash,bep2_symbol,Category
BNB,BNB,169433744000000000000000000,18,FALSE,null,null,0x0000000000000000000000000000000000000000,null,null,BNB,BToken
BTCB Token,BTCB,68501000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x4bc779bea1874dff3434fc0b4e1d0a24dc329783f190e2adc39ee9844d213c8e,null,BTCB-1DE,BToken
BUSD Token,BUSD,4265999000000000000000000000,18,TRUE,0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4,null,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x0f01fc521030f178115c880e200b09a40c9510f49de227aa880276f92670a3d6,null,BUSD-BD1,BToken
ChainLink Token,LINK,8500000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,0xb5519dc9333aaed59898de7093946dc22c69f240a40c5625e67c02b12749c85c,null,LINK-AAD,BToken
Tether USD,USDT,3090000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d ,null,0x55d398326f99059fF775485246999027B3197955,0x05ec6203d7d0d8794449e4d8393c4e3cc397f2477839248e16db25469e37721d,null,USDT-6D8,BToken
Cardano Token,ADA,600000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,0xde315b3dd345c394abe3db496a25081894ab90aa085cc26197f34855f07faadb,null,ADA-9F4,BToken
Band Protocol Token,BAND,3200000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,0x0b420885f367184d242c61d74e0a6472e9d52e468e7dc3592ab721594219119a,null,BAND-34B,BToken
Bitcoin Cash Token,BCH,110000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,0x47753fa7e15a93c29125689443f838bf4256b64ab1a413a2d25ff134f00a74d4,null,BCH-1FD,BToken
Dai Token,DAI,269000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,0x84b307b3f131f5ddac0af3b42339bbfa9b4f28a979899cd9bc334dad63233200,null,DAI-D75,BToken
Polkadot Token,DOT,11000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,0x4cca70e6a5ac66b5f4ce0fb4b686bdadcce0f6d6bae4b175eec33bf799d45a68,null,DOT-64C,BToken
Ethereum Token,ETH,1155000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0x2f3cd1b65f0db3e42ab566ac3bcfbbf2281a0ddff652b7291dde662f777cc2c2,null,ETH-1C9,BToken
Litecoin Token,LTC,595000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,0x10836a516e625a33285fbdbe0f08d544459620fb39cc63d5d635f208537ad11b,null,LTC-F07,BToken
Ontology Token,ONT,15000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0xFd7B3A77848f1C2D67E05E54d78d174a0C850335,0xdb5448d880d1426a9667ea8e93925453953e5e4fdcdfaf4171ba9c029334cfeb,null,ONT-33D,BToken
XRP Token,XRP,233000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,null,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,0xebc373820dd6810a3f16437cdc46858c5b4fd6aff25ef59761dfb021c4dde361,null,XRP-BF2,BToken
Tezos Token,XTZ,4000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d ,null,0x16939ef78684453bfDFb47825F8a5F714f12623a,0xd227391eefba7856f741c0c945f10812b6d5c445ce9be4606ba95f4f3e1f9b7c,null,XTZ-F7A,BToken
EOS Token,EOS,10640000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d ,null,0x56b6fB708fC5732DEC1Afc8D8556423A2EDcCbD6,0x6b3ba42f8266f2473ed360718532f202bd7694681ea437896a3b1950a375bcac,null,EOS-CDD,BToken
ATOM,ATOM,1710000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d ,null,0x0Eb3a705fc54725037CC9e008bDede697f62F335,0xfa763455b540705486499f337a12eeee5efcb72f18b1d667a9719eca860e0c69,null,ATOM-596,BToken
YFII.finance Token,YFII,3000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d ,null,0x7F70642d88cf1C4a3a7abb072B53B929b653edA5,0x88d3744261f3d7ce75bf64c8d8dfe7078000ec707b2e6558dc0a0b635a4f9af7,null,YFII-061,BToken
Zcash Token,ZEC,100000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d ,null,0x1Ba42e5193dfA8B03D15dd1B86a3113bbBEF8Eeb,0x03ead8223393da68c0ad33413cb22888511c259f725140d0d6f8012552bd7224,null,ZEC-93E,BToken
Bella Protocol,BEL,5000000000000000000000000,18,TRUE,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d ,0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4,0x8443f091997f06a61670B735ED92734F5628692F,0xffeeec4c488d5475562be88832205f5e494a2a4e2f1d527a6f6aafe01a8c78b0,null,BEL-D85,BToken
